Thời gian,Mã Đơn Hàng,Mã Chi Nhánh,Mã Nhân Viên,Mã Sản Phẩm,Mã Khách Hàng,Số Lượng,Doanh Thu,Lợi Nhuận,Tổng Giá Vốn
2022-01-10,ĐH3653087,CN HCM,NV049,P-620,KH-0699,9,93420000,31140000,62280000
2022-01-20,ĐH9326745,CN HCM,NV064,P-465,KH-0252,7,328650000,109550000,219100000
2022-01-20,ĐH6479308,CN DN,NV174,P-338,KH-0597,10,217950000,72650000,145300000
2022-01-20,ĐH5572536,CN DN,NV106,P-041,KH-0641,6,26640000,8880000,17760000
2022-01-20,ĐH4285268,CN HCM,NV196,P-739,KH-0038,7,94395000,31465000,62930000
2022-01-20,ĐH2195962,CN DN,NV201,P-349,KH-0085,7,173460000,57820000,115640000
2022-01-20,ĐH3223514,TS HN,NV040,P-799,KH-0354,7,735000,245000,490000
2022-01-20,ĐH9023394,CN DN,NV142,P-164,KH-0064,7,38115000,12705000,25410000
2022-01-20,ĐH4522911,CN HCM,NV201,P-559,KH-0503,7,78855000,26285000,52570000
2022-01-20,ĐH2323902,CN DN,NV233,P-450,KH-0116,7,63735000,21245000,42490000
2022-01-20,ĐH2984375,TS HN,NV164,P-161,KH-0512,5,1106850000,368950000,737900000
2022-01-20,ĐH6112462,CN DN,NV125,P-709,KH-0772,7,6195000,2065000,4130000
2022-01-20,ĐH3895093,CN DN,NV156,P-570,KH-0508,9,4455000,1485000,2970000
2022-01-20,ĐH8574404,TS HN,NV105,P-357,KH-0289,6,47610000,15870000,31740000
2022-01-20,ĐH2847014,TS HN,NV104,P-751,KH-0442,7,210000,70000,140000
2022-01-20,ĐH4001763,CN HCM,NV063,P-425,KH-0205,7,191100000,63700000,127400000
2022-01-20,ĐH4334581,TS HN,NV037,P-201,KH-0228,5,23400000,7800000,15600000
2022-01-20,ĐH3351226,CN HCM,NV025,P-431,KH-0439,7,56700000,18900000,37800000
2022-01-20,ĐH3189844,CN HCM,NV075,P-359,KH-0553,7,4410000,1470000,2940000
2022-01-20,ĐH9297979,CN HCM,NV061,P-571,KH-0755,6,121500000,40500000,81000000
2022-01-20,ĐH6619342,CN DN,NV237,P-283,KH-0652,7,831390000,277130000,554260000
2022-01-30,ĐH1822773,CN HCM,NV047,P-333,KH-0135,9,53730000,17910000,35820000
2022-01-30,ĐH3735021,CN DN,NV158,P-193,KH-0389,6,85320000,28440000,56880000
2022-01-30,ĐH5671432,TS HN,NV114,P-500,KH-0410,7,10290000,3430000,6860000
2022-01-30,ĐH8653783,CN DN,NV050,P-121,KH-0074,5,19725000,6575000,13150000
2022-01-30,ĐH2968189,TS HN,NV143,P-144,KH-0515,7,88095000,29365000,58730000
2022-01-30,ĐH3732166,CN HCM,NV222,P-224,KH-0629,8,10680000,3560000,7120000
2022-01-30,ĐH6300049,TS HN,NV129,P-466,KH-0311,9,71820000,23940000,47880000
2022-01-30,ĐH4313798,CN DN,NV067,P-753,KH-0518,7,3150000,1050000,2100000
2022-01-30,ĐH5810049,CN DN,NV181,P-473,KH-0161,7,135975000,45325000,90650000
2022-01-30,ĐH5178603,CN HCM,NV050,P-526,KH-0054,10,129750000,43250000,86500000
2022-01-30,ĐH1193230,CN HCM,NV182,P-029,KH-0372,7,37695000,12565000,25130000
2022-01-30,ĐH1833229,CN DN,NV224,P-668,KH-0518,7,15225000,5075000,10150000
2022-01-30,ĐH8593979,CN HCM,NV149,P-071,KH-0375,7,5565000,1855000,3710000
2022-01-30,ĐH8954132,TS HN,NV109,P-170,KH-0523,5,24600000,8200000,16400000
2022-01-30,ĐH5330252,CN HCM,NV218,P-400,KH-0356,7,2625000,875000,1750000
2022-01-30,ĐH6398946,CN DN,NV233,P-224,KH-0613,7,9345000,3115000,6230000
2022-01-30,ĐH1322990,CN HCM,NV132,P-294,KH-0508,6,450000,150000,300000
2022-01-30,ĐH3193444,CN HCM,NV237,P-114,KH-0443,6,12780000,4260000,8520000
2022-01-30,ĐH3134286,CN DN,NV141,P-749,KH-0543,7,11025000,3675000,7350000
2022-01-30,ĐH8803253,CN DN,NV051,P-142,KH-0076,5,67725000,22575000,45150000
2022-01-30,ĐH5214039,CN HCM,NV179,P-535,KH-0424,6,46260000,15420000,30840000
2022-01-30,ĐH6840919,CN HCM,NV169,P-650,KH-0647,7,1785000,595000,1190000
2022-01-30,ĐH2816418,TS HN,NV163,P-528,KH-0196,9,184950000,61650000,123300000
2022-01-30,ĐH3420820,TS HN,NV030,P-198,KH-0230,10,57300000,19100000,38200000
2022-01-30,ĐH5617519,TS HN,NV088,P-117,KH-0719,5,72375000,24125000,48250000
2022-01-30,ĐH4824106,TS HN,NV090,P-367,KH-0004,10,1450800000,483600000,967200000
2022-01-30,ĐH6941065,CN DN,NV068,P-506,KH-0495,10,3000000,1000000,2000000
2022-01-30,ĐH3196254,TS HN,NV125,P-457,KH-0780,7,1995000,665000,1330000
2022-01-31,ĐH1733321,CN DN,NV174,P-338,KH-0226,7,152565000,50855000,101710000
2022-01-31,ĐH5908704,TS HN,NV160,P-588,KH-0272,10,2250000,750000,1500000
2022-01-31,ĐH4494045,TS HN,NV016,P-302,KH-0477,7,167475000,55825000,111650000
2022-01-31,ĐH4832997,CN HCM,NV158,P-501,KH-0730,10,109350000,36450000,72900000
2022-01-31,ĐH1846294,CN HCM,NV093,P-527,KH-0705,6,265590000,88530000,177060000
2022-01-31,ĐH8530878,TS HN,NV092,P-196,KH-0303,7,168105000,56035000,112070000
2022-01-31,ĐH8657866,CN HCM,NV118,P-164,KH-0310,6,32670000,10890000,21780000
2022-01-31,ĐH1742389,TS HN,NV100,P-433,KH-0193,7,212415000,70805000,141610000
2022-01-31,ĐH1671464,TS HN,NV144,P-503,KH-0261,9,346950000,115650000,231300000
2022-01-31,ĐH1035932,TS HN,NV231,P-560,KH-0213,5,7350000,2450000,4900000
2022-01-31,ĐH4308690,CN HCM,NV130,P-617,KH-0423,5,20550000,6850000,13700000
2022-01-31,ĐH6569686,TS HN,NV148,P-004,KH-0522,6,74160000,24720000,49440000
2022-01-31,ĐH7522920,CN DN,NV052,P-375,KH-0391,7,59220000,19740000,39480000
2022-01-31,ĐH2670473,TS HN,NV135,P-796,KH-0134,5,36675000,12225000,24450000
2022-01-31,ĐH4895772,TS HN,NV081,P-182,KH-0652,5,21525000,7175000,14350000
2022-01-31,ĐH9641009,CN DN,NV163,P-232,KH-0526,6,9900000,3300000,6600000
2022-01-31,ĐH4630116,TS HN,NV164,P-268,KH-0665,6,145620000,48540000,97080000
2022-01-31,ĐH1805918,CN DN,NV211,P-795,KH-0156,7,55125000,18375000,36750000
2022-01-31,ĐH8275744,TS HN,NV186,P-682,KH-0502,9,12015000,4005000,8010000
2022-01-31,ĐH4646155,CN HCM,NV216,P-571,KH-0142,8,162000000,54000000,108000000
2022-02-01,ĐH2263417,CN DN,NV192,P-264,KH-0712,7,36855000,12285000,24570000
2022-02-01,ĐH7535199,TS HN,NV057,P-310,KH-0264,7,38640000,12880000,25760000
2022-02-01,ĐH8879859,CN HCM,NV038,P-574,KH-0189,7,1890000,630000,1260000
2022-02-01,ĐH6391448,CN DN,NV225,P-132,KH-0668,9,68310000,22770000,45540000
2022-02-01,ĐH7148717,CN DN,NV082,P-127,KH-0312,6,60390000,20130000,40260000
2022-02-01,ĐH7973998,TS HN,NV193,P-202,KH-0231,7,25725000,8575000,17150000
2022-02-01,ĐH2085901,TS HN,NV188,P-321,KH-0077,7,42315000,14105000,28210000
2022-02-01,ĐH3038667,TS HN,NV149,P-483,KH-0075,6,12870000,4290000,8580000
2022-02-01,ĐH5301695,CN DN,NV145,P-605,KH-0732,6,12240000,4080000,8160000
2022-02-01,ĐH3021507,CN HCM,NV207,P-039,KH-0326,5,46425000,15475000,30950000
2022-02-01,ĐH2186830,CN DN,NV083,P-528,KH-0172,7,143850000,47950000,95900000
2022-02-01,ĐH5288218,TS HN,NV058,P-036,KH-0004,7,24990000,8330000,16660000
2022-02-01,ĐH9930136,CN HCM,NV246,P-087,KH-0469,6,74340000,24780000,49560000
2022-02-01,ĐH7078754,CN HCM,NV199,P-559,KH-0685,6,67590000,22530000,45060000
2022-02-01,ĐH9482647,CN HCM,NV214,P-305,KH-0352,9,18360000,6120000,12240000
2022-02-01,ĐH8185108,TS HN,NV235,P-246,KH-0342,10,60900000,20300000,40600000
2022-02-01,ĐH1468358,CN DN,NV114,P-472,KH-0096,7,166530000,55510000,111020000
2022-02-01,ĐH6536916,CN HCM,NV083,P-339,KH-0371,10,19050000,6350000,12700000
2022-02-01,ĐH6008696,TS HN,NV200,P-788,KH-0471,6,37710000,12570000,25140000
2022-02-01,ĐH4277648,CN HCM,NV131,P-164,KH-0633,7,38115000,12705000,25410000
2022-02-01,ĐH2624213,TS HN,NV126,P-335,KH-0628,6,100890000,33630000,67260000
2022-02-01,ĐH1404169,CN HCM,NV229,P-570,KH-0036,6,2970000,990000,1980000
2022-02-01,ĐH9384788,CN DN,NV006,P-701,KH-0267,6,1080000,360000,720000
2022-02-01,ĐH9461323,CN DN,NV080,P-516,KH-0297,7,73815000,24605000,49210000
2022-02-01,ĐH5868053,TS HN,NV226,P-397,KH-0353,5,5025000,1675000,3350000
2022-02-01,ĐH2185767,TS HN,NV143,P-733,KH-0591,5,2175000,725000,1450000
2022-02-01,ĐH8573692,CN DN,NV082,P-229,KH-0518,5,3750000,1250000,2500000
2022-02-01,ĐH5623791,TS HN,NV206,P-213,KH-0084,7,139965000,46655000,93310000
2022-02-02,ĐH7006954,CN HCM,NV114,P-669,KH-0287,6,19890000,6630000,13260000
2022-02-02,ĐH5786308,CN HCM,NV193,P-007,KH-0745,4,60795000,20265000,40530000
2022-02-02,ĐH2774334,CN HCM,NV039,P-007,KH-0627,7,36330000,12110000,24220000
2022-02-02,ĐH2375436,CN HCM,NV190,P-733,KH-0452,6,93240000,31080000,62160000
2022-02-02,ĐH5786308,CN HCM,NV193,P-270,KH-0745,7,60795000,20265000,40530000
2022-02-02,ĐH2375436,CN HCM,NV190,P-384,KH-0452,6,93240000,31080000,62160000
2022-02-02,ĐH2375436,CN HCM,NV190,P-274,KH-0452,6,93240000,31080000,62160000
2022-02-02,ĐH3348335,CN HCM,NV212,P-003,KH-0757,6,13230000,4410000,8820000
2022-02-02,ĐH4979882,CN HCM,NV067,P-683,KH-0531,10,3600000,1200000,2400000
2022-02-02,ĐH6764556,TS HN,NV007,P-600,KH-0348,9,27405000,9135000,18270000
2022-02-02,ĐH9040595,CN DN,NV149,P-278,KH-0082,5,12675000,4225000,8450000
2022-02-02,ĐH8222961,CN HCM,NV180,P-598,KH-0702,6,4050000,1350000,2700000
2022-02-02,ĐH3895324,CN HCM,NV241,P-271,KH-0736,5,19575000,6525000,13050000
2022-02-02,ĐH9266422,CN DN,NV189,P-758,KH-0671,7,121800000,40600000,81200000
2022-02-02,ĐH6024991,CN HCM,NV147,P-772,KH-0351,6,11520000,3840000,7680000
2022-02-02,ĐH1683751,CN DN,NV186,P-424,KH-0254,7,68145000,22715000,45430000
2022-02-02,ĐH1167017,TS HN,NV025,P-298,KH-0102,9,113265000,37755000,75510000
2022-02-02,ĐH5193802,CN HCM,NV235,P-329,KH-0098,7,140490000,46830000,93660000
2022-02-02,ĐH7550955,TS HN,NV127,P-638,KH-0537,8,45000000,15000000,30000000
2022-02-02,ĐH3039900,TS HN,NV013,P-534,KH-0033,7,45255000,15085000,30170000
2022-02-02,ĐH3945762,CN DN,NV184,P-229,KH-0344,7,5250000,1750000,3500000
2022-02-02,ĐH5431324,CN HCM,NV249,P-188,KH-0410,5,34200000,11400000,22800000
2022-02-02,ĐH2774334,CN HCM,NV039,P-110,KH-0627,7,36330000,12110000,24220000
2022-02-02,ĐH4388866,CN DN,NV168,P-259,KH-0667,5,975000,325000,650000
2022-02-02,ĐH1527621,CN DN,NV222,P-779,KH-0639,5,2625000,875000,1750000
2022-02-02,ĐH4776108,CN HCM,NV125,P-738,KH-0162,8,94440000,31480000,62960000
2022-02-02,ĐH8185950,CN DN,NV244,P-055,KH-0761,5,10050000,3350000,6700000
2022-02-02,ĐH1683067,CN HCM,NV020,P-047,KH-0248,9,114345000,38115000,76230000
2022-02-02,ĐH7361801,CN DN,NV192,P-706,KH-0531,6,44640000,14880000,29760000
2022-02-02,ĐH2125286,CN DN,NV025,P-619,KH-0442,7,144480000,48160000,96320000
2022-02-02,ĐH9495533,CN HCM,NV167,P-745,KH-0149,7,7770000,2590000,5180000
2022-02-02,ĐH2179665,CN HCM,NV087,P-214,KH-0228,6,585000000,195000000,390000000
2022-02-02,ĐH2963480,CN DN,NV229,P-376,KH-0535,5,100800000,33600000,67200000
2022-02-02,ĐH7633806,CN HCM,NV207,P-696,KH-0162,7,210735000,70245000,140490000
2022-02-02,ĐH5150220,TS HN,NV193,P-181,KH-0614,10,162750000,54250000,108500000
2022-02-02,ĐH5908392,TS HN,NV040,P-723,KH-0277,9,21195000,7065000,14130000
2022-02-02,ĐH4526665,CN HCM,NV235,P-144,KH-0338,7,88095000,29365000,58730000
2022-02-02,ĐH8520610,TS HN,NV149,P-395,KH-0583,9,3105000,1035000,2070000
2022-02-03,ĐH2664019,TS HN,NV054,P-535,KH-0235,7,53970000,17990000,35980000
2022-02-03,ĐH8407144,CN DN,NV018,P-081,KH-0697,7,9030000,3010000,6020000
2022-02-03,ĐH7622521,TS HN,NV166,P-563,KH-0121,7,15015000,5005000,10010000
2022-02-03,ĐH4308017,TS HN,NV222,P-375,KH-0615,7,59220000,19740000,39480000
2022-02-03,ĐH6987153,CN DN,NV139,P-101,KH-0308,7,3780000,1260000,2520000
2022-02-03,ĐH8494999,TS HN,NV091,P-338,KH-0738,7,152565000,50855000,101710000
2022-02-03,ĐH5893086,CN HCM,NV061,P-709,KH-0054,7,6195000,2065000,4130000
2022-02-03,ĐH5210743,TS HN,NV134,P-344,KH-0359,7,277725000,92575000,185150000
2022-02-03,ĐH7074507,TS HN,NV213,P-729,KH-0167,8,79080000,26360000,52720000
2022-02-03,ĐH4130860,CN HCM,NV180,P-399,KH-0579,7,7770000,2590000,5180000
2022-02-03,ĐH4908316,CN HCM,NV134,P-098,KH-0496,5,18825000,6275000,12550000
2022-02-03,ĐH2907492,TS HN,NV064,P-384,KH-0605,8,124320000,41440000,82880000
2022-02-03,ĐH2907492,TS HN,NV064,P-733,KH-0605,8,124320000,41440000,82880000
2022-02-03,ĐH6849626,CN DN,NV117,P-641,KH-0354,5,6975000,2325000,4650000
2022-02-03,ĐH3508394,CN HCM,NV242,P-328,KH-0628,5,1200000,400000,800000
2022-02-03,ĐH5660384,CN HCM,NV116,P-210,KH-0758,7,11865000,3955000,7910000
2022-02-03,ĐH2894854,TS HN,NV093,P-642,KH-0004,7,2940000,980000,1960000
2022-02-03,ĐH6383684,TS HN,NV102,P-052,KH-0586,6,1440000,480000,960000
2022-02-03,ĐH8529684,TS HN,NV043,P-513,KH-0723,7,6825000,2275000,4550000
2022-02-03,ĐH3404916,TS HN,NV225,P-279,KH-0304,7,249060000,83020000,166040000
2022-02-03,ĐH9606234,CN HCM,NV123,P-681,KH-0190,7,11550000,3850000,7700000
2022-02-03,ĐH1528961,TS HN,NV191,P-560,KH-0248,9,13230000,4410000,8820000
2022-02-03,ĐH2463036,CN DN,NV015,P-791,KH-0136,7,3780000,1260000,2520000
2022-02-03,ĐH6502204,CN DN,NV102,P-174,KH-0678,6,109440000,36480000,72960000
2022-02-03,ĐH3549852,CN HCM,NV189,P-381,KH-0536,7,13755000,4585000,9170000
2022-02-03,ĐH1308443,TS HN,NV059,P-550,KH-0690,7,110250000,36750000,73500000
2022-02-03,ĐH5536164,CN HCM,NV137,P-056,KH-0272,10,158550000,52850000,105700000
2022-02-03,ĐH9284309,TS HN,NV037,P-429,KH-0202,6,179190000,59730000,119460000
2022-02-03,ĐH7358498,CN HCM,NV024,P-181,KH-0201,5,81375000,27125000,54250000
2022-02-03,ĐH4696853,TS HN,NV174,P-482,KH-0068,9,79515000,26505000,53010000
2022-02-03,ĐH4402522,TS HN,NV026,P-227,KH-0027,7,21420000,7140000,14280000
2022-02-03,ĐH4090341,CN HCM,NV236,P-021,KH-0763,9,159300000,53100000,106200000
2022-02-03,ĐH5150238,CN DN,NV129,P-433,KH-0081,10,303450000,101150000,202300000
2022-02-03,ĐH5068314,CN DN,NV064,P-788,KH-0726,5,31425000,10475000,20950000
2022-02-03,ĐH8280392,CN HCM,NV073,P-649,KH-0757,8,3480000,1160000,2320000
2022-02-04,ĐH5868135,TS HN,NV120,P-462,KH-0107,7,31500000,10500000,21000000
2022-02-04,ĐH9595773,TS HN,NV164,P-061,KH-0337,7,3570000,1190000,2380000
2022-02-04,ĐH1795173,CN DN,NV223,P-336,KH-0116,7,60795000,20265000,40530000
2022-02-04,ĐH6973402,CN HCM,NV098,P-414,KH-0344,9,119880000,39960000,79920000
2022-02-04,ĐH2477339,CN HCM,NV159,P-730,KH-0292,7,32445000,10815000,21630000
2022-02-04,ĐH7174759,TS HN,NV238,P-593,KH-0064,7,41160000,13720000,27440000
2022-02-04,ĐH1727069,TS HN,NV128,P-355,KH-0249,10,678600000,226200000,452400000
2022-02-04,ĐH8090436,CN HCM,NV141,P-344,KH-0746,9,357075000,119025000,238050000
2022-02-04,ĐH8779031,TS HN,NV248,P-006,KH-0693,7,48090000,16030000,32060000
2022-02-04,ĐH7009341,CN HCM,NV115,P-519,KH-0447,7,126945000,42315000,84630000
2022-02-04,ĐH1834808,TS HN,NV004,P-673,KH-0693,5,1200000,400000,800000
2022-02-04,ĐH8869779,CN DN,NV057,P-081,KH-0330,6,7740000,2580000,5160000
2022-02-04,ĐH8110251,CN HCM,NV198,P-389,KH-0109,5,29175000,9725000,19450000
2022-02-04,ĐH1025436,CN HCM,NV210,P-014,KH-0710,7,55965000,18655000,37310000
2022-02-04,ĐH1222750,CN DN,NV234,P-052,KH-0503,9,2160000,720000,1440000
2022-02-04,ĐH3010278,CN HCM,NV116,P-786,KH-0118,7,152250000,50750000,101500000
2022-02-04,ĐH5961928,CN HCM,NV047,P-441,KH-0120,7,202860000,67620000,135240000
2022-02-04,ĐH8023696,CN DN,NV142,P-625,KH-0493,9,51840000,17280000,34560000
2022-02-04,ĐH8930271,CN HCM,NV158,P-638,KH-0084,10,56250000,18750000,37500000
2022-02-04,ĐH4047328,TS HN,NV089,P-495,KH-0641,7,1890000,630000,1260000
2022-02-04,ĐH9107941,CN DN,NV045,P-003,KH-0127,7,15435000,5145000,10290000
2022-02-04,ĐH5961928,CN HCM,NV047,P-358,KH-0120,7,202860000,67620000,135240000
2022-02-04,ĐH3623875,CN HCM,NV172,P-383,KH-0109,7,630000,210000,420000
2022-02-04,ĐH8819187,CN DN,NV235,P-712,KH-0740,6,6570000,2190000,4380000
2022-02-04,ĐH5961928,CN HCM,NV047,P-530,KH-0120,7,202860000,67620000,135240000
2022-02-04,ĐH8665534,CN HCM,NV036,P-657,KH-0036,7,4830000,1610000,3220000
2022-02-04,ĐH7780560,CN HCM,NV125,P-221,KH-0736,8,158400000,52800000,105600000
2022-02-04,ĐH6993177,CN DN,NV044,P-453,KH-0145,7,69195000,23065000,46130000
2022-02-04,ĐH5707322,CN DN,NV045,P-492,KH-0577,8,133080000,44360000,88720000
2022-02-04,ĐH2260896,TS HN,NV103,P-160,KH-0729,7,2017050000,672350000,1344700000
2022-02-04,ĐH3686208,CN HCM,NV064,P-723,KH-0777,6,14130000,4710000,9420000
2022-02-04,ĐH1196409,CN HCM,NV035,P-030,KH-0390,7,96915000,32305000,64610000
2022-02-04,ĐH1196409,CN HCM,NV035,P-048,KH-0390,7,96915000,32305000,64610000
2022-02-05,ĐH8646166,TS HN,NV216,P-593,KH-0372,5,29400000,9800000,19600000
2022-02-05,ĐH5702324,TS HN,NV055,P-703,KH-0297,5,5100000,1700000,3400000
2022-02-05,ĐH1786064,CN DN,NV033,P-108,KH-0523,7,207060000,69020000,138040000
2022-02-05,ĐH9122825,CN DN,NV055,P-683,KH-0638,10,3600000,1200000,2400000
2022-02-05,ĐH6116916,TS HN,NV181,P-226,KH-0718,7,18270000,6090000,12180000
2022-02-05,ĐH8023168,CN HCM,NV169,P-209,KH-0219,7,44415000,14805000,29610000
2022-02-05,ĐH2731469,CN DN,NV001,P-764,KH-0664,7,13125000,4375000,8750000
2022-02-05,ĐH7493891,TS HN,NV098,P-432,KH-0181,6,116100000,38700000,77400000
2022-02-05,ĐH2389624,CN HCM,NV150,P-356,KH-0155,9,7695000,2565000,5130000
2022-02-05,ĐH6708027,CN HCM,NV130,P-569,KH-0154,5,2550000,850000,1700000
2022-02-05,ĐH6679195,CN DN,NV128,P-372,KH-0321,5,303600000,101200000,202400000
2022-02-05,ĐH4252477,TS HN,NV110,P-360,KH-0255,7,1644825000,548275000,1096550000
2022-02-05,ĐH9362889,CN HCM,NV032,P-605,KH-0723,6,12240000,4080000,8160000
2022-02-05,ĐH6825764,CN DN,NV241,P-113,KH-0653,7,471660000,157220000,314440000
2022-02-05,ĐH4708751,CN HCM,NV201,P-107,KH-0745,10,437400000,145800000,291600000
2022-02-05,ĐH7123121,CN DN,NV037,P-057,KH-0300,7,67515000,22505000,45010000
2022-02-05,ĐH8254627,CN DN,NV243,P-751,KH-0775,10,300000,100000,200000
2022-02-05,ĐH1110256,CN HCM,NV024,P-476,KH-0503,9,7695000,2565000,5130000
2022-02-05,ĐH2000679,TS HN,NV087,P-034,KH-0706,7,120645000,40215000,80430000
2022-02-05,ĐH5242346,CN DN,NV175,P-084,KH-0202,7,244335000,81445000,162890000
2022-02-05,ĐH5270487,TS HN,NV200,P-325,KH-0674,7,12075000,4025000,8050000
2022-02-05,ĐH8187851,CN HCM,NV094,P-133,KH-0157,7,20055000,6685000,13370000
2022-02-05,ĐH5669846,CN HCM,NV244,P-764,KH-0681,10,18750000,6250000,12500000
2022-02-05,ĐH6418287,CN DN,NV185,P-204,KH-0080,9,379080000,126360000,252720000
2022-02-06,ĐH8293366,CN HCM,NV102,P-454,KH-0765,6,83520000,27840000,55680000
2022-02-06,ĐH6520735,CN DN,NV106,P-604,KH-0238,7,19950000,6650000,13300000
2022-02-06,ĐH9760856,CN HCM,NV065,P-606,KH-0222,5,1575000,525000,1050000
2022-02-06,ĐH1112595,CN HCM,NV071,P-177,KH-0081,10,807750000,269250000,538500000
2022-02-06,ĐH9865144,CN DN,NV107,P-441,KH-0301,7,28560000,9520000,19040000
2022-02-06,ĐH1112595,CN HCM,NV071,P-565,KH-0081,10,807750000,269250000,538500000
2022-02-06,ĐH1024238,TS HN,NV074,P-676,KH-0192,7,2835000,945000,1890000
2022-02-06,ĐH6977466,CN HCM,NV013,P-318,KH-0360,9,14040000,4680000,9360000
2022-02-06,ĐH6850431,CN DN,NV180,P-525,KH-0461,9,78435000,26145000,52290000
2022-02-06,ĐH2037416,TS HN,NV210,P-689,KH-0087,2,41475000,13825000,27650000
2022-02-06,ĐH1618317,TS HN,NV208,P-618,KH-0137,7,112035000,37345000,74690000
2022-02-06,ĐH9799684,CN HCM,NV063,P-094,KH-0484,7,135660000,45220000,90440000
2022-02-06,ĐH5844403,CN DN,NV104,P-671,KH-0438,7,4095000,1365000,2730000
2022-02-06,ĐH3407806,CN HCM,NV206,P-499,KH-0278,8,9240000,3080000,6160000
2022-02-06,ĐH1639515,CN DN,NV176,P-483,KH-0625,7,15015000,5005000,10010000
2022-02-06,ĐH1402467,TS HN,NV208,P-563,KH-0276,6,12870000,4290000,8580000
2022-02-06,ĐH9317634,CN HCM,NV075,P-687,KH-0695,7,23205000,7735000,15470000
2022-02-06,ĐH6419139,CN DN,NV057,P-271,KH-0194,7,27405000,9135000,18270000
2022-02-06,ĐH5992962,CN DN,NV023,P-239,KH-0189,10,256350000,85450000,170900000
2022-02-06,ĐH3647362,CN DN,NV156,P-017,KH-0413,9,35640000,11880000,23760000
2022-02-06,ĐH7996556,TS HN,NV001,P-657,KH-0564,7,4830000,1610000,3220000
2022-02-06,ĐH8324433,TS HN,NV143,P-215,KH-0628,6,3690000,1230000,2460000
2022-02-06,ĐH8383002,CN DN,NV068,P-501,KH-0424,5,54675000,18225000,36450000
2022-02-07,ĐH7701406,TS HN,NV178,P-710,KH-0755,7,17745000,5915000,11830000
2022-02-07,ĐH9006083,CN DN,NV192,P-275,KH-0261,7,12600000,4200000,8400000
2022-02-07,ĐH8816988,CN HCM,NV094,P-649,KH-0296,7,3045000,1015000,2030000
2022-02-07,ĐH8842088,CN DN,NV074,P-193,KH-0420,7,99540000,33180000,66360000
2022-02-07,ĐH5194431,TS HN,NV245,P-052,KH-0712,7,1680000,560000,1120000
2022-02-07,ĐH9218461,TS HN,NV192,P-144,KH-0698,6,75510000,25170000,50340000
2022-02-07,ĐH2416411,CN DN,NV055,P-480,KH-0731,7,19005000,6335000,12670000
2022-02-07,ĐH5563248,CN DN,NV099,P-758,KH-0732,9,156600000,52200000,104400000
