Mã Khách Hàng,Tên Khách Hàng,SDT,Email,Nhóm Khách Hàng
KH-0050,CÔNG TY TNHH AMOREPACIFIC VIỆT NAM,349576618,xyzqu2wb@gmail.com,Ngân hàng
KH-0051,CÔNG TY TNHH GIẢI PHÁP TÍCH HỢP HỆ THỐNG H.N.T.C,83264387,ssph13hj@gmail.com,Tổ chức chính phủ
KH-0052,CÔNG TY CỔ PHẦN SAO VIỆT,85795380,qqkdzg7n@gmail.com,Khách hàng cá nhân
KH-0053,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ IN CHUYỂN KTK,236398169,6mr9wr97@gmail.com,Ngân hàng
KH-0054,Công Ty TNHH Thương Mại Dịch Vụ ICT Sài Gòn,879784886,a9ptgi9f@gmail.com,Ngân hàng
KH-0055,Công ty TNHH MTV Bluzen Vina,365397775,lqn6u66o@gmail.com,Ngân hàng
KH-0056,Chi nhánh tại TP.HCM Công ty TNHH Hệ thống Thông tin Ngân hàng Tài chính FPT (TP.HN),526441946,z0evzqlz@gmail.com,Tổ chức chính phủ
KH-0057,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,814640868,xgrqtin8@gmail.com,Tổ chức chính phủ
KH-0058,CÔNG TY TNHH MONACO HEALTHCARE,960511017,gdcxi90u@gmail.com,Tổ chức chính phủ
KH-0059,Công ty TNHH PMAS,585749699,g4zmup1s@gmail.com,Tổ chức chính phủ
KH-0060,Công ty TNHH MTV Thương mại và Dịch vụ ELITE,815547553,qtb815ne@gmail.com,Ngân hàng
KH-0061,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VI TÍNH SAO MAI,810899640,wigbjr6j@gmail.com,Tổ chức chính phủ
KH-0062,Công Ty TNHH GreyStones Data Systems Việt Nam,856392070,1qa4tyst@gmail.com,Tổ chức chính phủ
KH-0063,Công ty TNHH MTV CK KT Trí Trung,74637830,oyfxe6di@gmail.com,Ngân hàng
KH-0064,LIÊN DANH NK-JIC-PBJ-JTC-TEC-TEDI SOUTH - TRICC,136817796,opsbz4lj@gmail.com,Doanh nghiệp
KH-0065,CÔNG TY TNHH BONFIGLIOLI VIỆT NAM,710623336,au8banj0@gmail.com,Tổ chức chính phủ
KH-0066,CÔNG TY TNHH CÔNG NGHỆ G7,800623748,6k998k3o@gmail.com,Tổ chức chính phủ
KH-0067,Công ty TNHH KAHOKU LIGHTING SOLUTIONS Việt Nam,41626014,ehk3obmn@gmail.com,Tổ chức chính phủ
KH-0068,CÔNG TY TNHH GROOVE TECHNOLOGY VIETNAM,167388923,sumj57yv@gmail.com,Doanh nghiệp
KH-0069,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM THIÊN Á,7338365,ug1uutpe@gmail.com,Ngân hàng
KH-0070,CÔNG TY TNHH THƯƠNG MẠI NGỌC THIÊN BẢO,681583621,a8ei4e7q@gmail.com,Ngân hàng
KH-0071,CÔNG TY TNHH SANCOH VIỆT NAM,905267304,bpsx22bv@gmail.com,Ngân hàng
KH-0072,Chi nhánh tại TP.Hồ Chí Minh Công ty TNHH Hệ thống thông tin FPT (TP. Hà Nội),999930783,24ycqayy@gmail.com,Doanh nghiệp
KH-0073,Công ty cổ phần Công nghệ trực tuyến Tầm Nhìn Việt,130276386,aq9luhes@gmail.com,Khách hàng cá nhân
KH-0074,Công ty TNHH Khu dân cư LeadGroup,144520330,41l4rnj5@gmail.com,Doanh nghiệp
KH-0075,Công ty TNHH METKRAFT,907804390,r8cj4u6w@gmail.com,Doanh nghiệp
KH-0076,CÔNG TY TNHH MITRA ADIPERKASA VIỆT NAM,763607829,245j6u3w@gmail.com,Ngân hàng
KH-0077,CÔNG TY TNHH DÂY CÁP ĐIỆN TAI SIN (VN),513488373,89h1eyrp@gmail.com,Khách hàng cá nhân
KH-0078,Công ty TNHH Dịch vụ Thắng Lợi,689803648,awt9pncq@gmail.com,Ngân hàng
KH-0079,CÔNG TY TNHH AYTEC VIỆT NAM,362762323,2eid1k8e@gmail.com,Doanh nghiệp
KH-0080,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NOZV VIỆT NAM,446480766,97tjkhle@gmail.com,Doanh nghiệp
KH-0081,CÔNG TY TNHH  SYSONE,710517155,y68ilu8z@gmail.com,Khách hàng cá nhân
KH-0082,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NÉT SỐ,349146869,qmotsklf@gmail.com,Ngân hàng
KH-0083,Công ty TNHH YKK Việt Nam,444257442,w7vuqz9u@gmail.com,Khách hàng cá nhân
KH-0084,CÔNG TY TNHH TỔ HỢP NHẤT VIỆT,65720692,u7jdhted@gmail.com,Khách hàng cá nhân
KH-0085,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THỨC ĂN CHĂN NUÔI BÌNH MINH,974673269,odin1k9l@gmail.com,Doanh nghiệp
KH-0086,CÔNG TY TNHH XÂY DỰNG VÀ KINH DOANH NHÀ ĐIỀN PHÚC THÀNH,22414153,z2mzskjo@gmail.com,Doanh nghiệp
KH-0087,CÔNG TY TNHH THIẾT BỊ ĐO LƯỜNG VÀ ĐIỀU KHIỂN ĐẠI VIỆT,487005389,m7se6tn1@gmail.com,Tổ chức chính phủ
KH-0088,Công ty TNHH Công Nghệ Thông Tin Chân Trời Sáng,735635789,0natwl1n@gmail.com,Ngân hàng
KH-0089,Công ty TNHH MTV K-Tech,128080204,fhkd9sb9@gmail.com,Doanh nghiệp
KH-0090,CÔNG TY TNHH YOUYOUWINGS,906566329,ivz2q13g@gmail.com,Doanh nghiệp
KH-0091,CÔNG TY CP CÔNG NGHỆ TIÊN PHONG,873385801,nrp53de8@gmail.com,Khách hàng cá nhân
KH-0092,Công ty TNHH thương mại và dịch vụ Song Linh,960734912,h9f3z89e@gmail.com,Doanh nghiệp
KH-0093,CTY TNHH CÔNG NGHỆ VÀ PHẦN MỀM NAM Á,876636873,r7qmb2xm@gmail.com,Tổ chức chính phủ
KH-0094,Công ty TNHH Shiseido Việt Nam,276726282,4odk34iy@gmail.com,Khách hàng cá nhân
KH-0095,CÔNG TY CP HỆ THỐNG CÔNG NGHỆ ÁNH LAM,253575450,47djvlwn@gmail.com,Khách hàng cá nhân
KH-0096,CHI NHÁNH CÔNG TY TNHH MTV - TỔNG CÔNG TY PHÁT ĐIỆN 3 - CÔNG TY DỊCH VỤ SỬA CHỮA CÁC NHÀ MÁY ĐIỆN,328055565,f8m468j9@gmail.com,Ngân hàng
KH-0097,Công ty TNHH Đặc Rạng Việt Nam.,605341994,nwrygwoe@gmail.com,Doanh nghiệp
KH-0098,Công ty TNHH Schenker Việt Nam,52293055,9qdz0dj6@gmail.com,Ngân hàng
KH-0099,CÔNG TY TNHH YKK AP FACADE VIỆT NAM,942963692,6jg3fbid@gmail.com,Ngân hàng
KH-0100,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ THƯƠNG MẠI NSP VIỆT NAM,694627334,2jwy3ofi@gmail.com,Tổ chức chính phủ
KH-0101,Công Ty TNHH Fairfield Việt Nam,908262549,bfysjz4z@gmail.com,Ngân hàng
KH-0102,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,347736967,qv6heohg@gmail.com,Ngân hàng
KH-0103,Công ty CP Phát triển Điện lực Thăng Long,885178281,y2nkmuw4@gmail.com,Ngân hàng
KH-0104,CÔNG TY TNHH VINA-CPK,56922386,vh14joj5@gmail.com,Tổ chức chính phủ
KH-0105,Công Ty TNHH Jang Won Tech Vina,569442083,aa5013fh@gmail.com,Doanh nghiệp
KH-0106,Công Ty TNHH Thương Mại Dịch Vụ Viết Quang,136196091,w48i5jq4@gmail.com,Ngân hàng
KH-0107,CÔNG TY TNHH TRẦN VIỆT PHÁT,291531292,p7ep86gc@gmail.com,Doanh nghiệp
KH-0108,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUNG NGUYÊN,152372561,5qq3d0tc@gmail.com,Khách hàng cá nhân
KH-0109,CÔNG TY TNHH MỘT THÀNH VIÊN HIỆP THỊNH,717378206,or1hyvq0@gmail.com,Khách hàng cá nhân
KH-0110,CÔNG TY CỔ PHẦN CÔNG NGHỆ ĐẠI TRẦN GIA,395911118,lzsajxtl@gmail.com,Ngân hàng
KH-0111,Công ty Cổ phần Tiến Bộ Quốc Tế,262793099,5l6cygkw@gmail.com,Tổ chức chính phủ
KH-0112,Công ty TNHH Thương mại Kỹ thuật Tin học Anh Ngọc,972641321,7j8wcz2d@gmail.com,Ngân hàng
KH-0113,CÔNG TY TNHH TIẾP VẬN KINTETSU VIỆT NAM,479183899,kzqfy30x@gmail.com,Tổ chức chính phủ
KH-0114,CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN SUNWAY HÀ NỘI,847967985,3nsqwqpr@gmail.com,Doanh nghiệp
KH-0115,Công ty cổ phần Ipos.vn,478532731,4sv7uppl@gmail.com,Khách hàng cá nhân
KH-0116,Văn phòng Đại diện công ty Taisei tại Hà Nội,688140897,7tktjjpi@gmail.com,Tổ chức chính phủ
KH-0117,Công ty Cổ phần Đàug Tư Công nghệ STI,742912734,78s7dexn@gmail.com,Khách hàng cá nhân
KH-0118,CÔNG TY CỔ PHẦN PIN HÀ NỘI,60323218,f106p5km@gmail.com,Ngân hàng
KH-0119,Công ty TNHH Sinh Nam,872037933,9mtuwv03@gmail.com,Doanh nghiệp
KH-0120,Công ty TNHH thương mại kỹ thuật Hải Quang,860694342,067pi5oh@gmail.com,Doanh nghiệp
KH-0121,Công ty TNHH IKO THOMPSON VIỆT NAM,424829383,k3so7512@gmail.com,Doanh nghiệp
KH-0122,Công ty TNHH TotalGaz Việt Nam,926503788,kcw2c754@gmail.com,Tổ chức chính phủ
KH-0123,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HOÀN HẢO,614784166,k6iy3vtw@gmail.com,Khách hàng cá nhân
KH-0124,Công Ty Cổ Phần Điện Ii,956958877,tabm2z8d@gmail.com,Tổ chức chính phủ
KH-0125,Công Ty Cổ Phần Thương Mại Và Phát Triển Kỹ Thuật Cao Vihoth,861408964,onhghhf7@gmail.com,Khách hàng cá nhân
KH-0126,Công ty TNHH Dịch Vụ Tin Học Rồng Việt,739652269,5xf8lspa@gmail.com,Doanh nghiệp
KH-0127,Công ty cổ phần phân phối và bán lẻ BT,23659727,odqkiwpx@gmail.com,Doanh nghiệp
KH-0128,Công ty Công nghệ thông tin Điện lực miền Bắc.,453373536,cy792oo6@gmail.com,Khách hàng cá nhân
KH-0129,Công Ty TNHH Cpro Việt Nam,218509800,wxj3slhs@gmail.com,Doanh nghiệp
KH-0130,Công ty TNHH Deloitte Việt Nam,185313668,se4ys1qu@gmail.com,Doanh nghiệp
KH-0131,CÔNG TY CỔ PHẦN SONGWOL VINA,234016466,rh31smns@gmail.com,Khách hàng cá nhân
KH-0132,Bảo hiểm xã hội tỉnh Hà Giang,96805829,pj5lzhl0@gmail.com,Ngân hàng
KH-0133,CÔNG TY CỔ PHẦN KIẾN TRÚC ĐỒNG NHÂN,839368765,8owjkc7k@gmail.com,Khách hàng cá nhân
KH-0134,Công ty TNHH Nông Lâm Sản Tiên Phước,776494740,d6gzt27h@gmail.com,Ngân hàng
KH-0135,Công ty TNHH EAGLE ONE ENTERPRISE,515858750,msqj0zvt@gmail.com,Tổ chức chính phủ
KH-0136,Công ty cổ phần SRP,296633808,t4h34dhh@gmail.com,Doanh nghiệp
KH-0137,CÔNG TY TNHH PHÂN PHỐI SYNNEX FPT,22352023,pcckjltp@gmail.com,Khách hàng cá nhân
KH-0138,Công ty TNHH giải pháp công trường xây dựng Doosan Việt Nam,431090640,8zolweag@gmail.com,Tổ chức chính phủ
KH-0139,Công Ty TNHH Xây Dựng Sandstone,367733900,j2jzrqn2@gmail.com,Khách hàng cá nhân
KH-0140,CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT,131748196,0bdmbkza@gmail.com,Tổ chức chính phủ
KH-0141,CÔNG TY CỔ PHẦN TRUNG VIỆT HƯNG,627033817,yyjzvjon@gmail.com,Tổ chức chính phủ
KH-0142,Công ty cổ phần Act Brain Việt Nam,435923674,1it4htnv@gmail.com,Khách hàng cá nhân
KH-0143,CÔNG TY CP VI TÍNH MEKONG,309658513,0bkv1cmk@gmail.com,Ngân hàng
KH-0144,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ PHÚ SINH KIM,961513432,kyvj4x4g@gmail.com,Doanh nghiệp
KH-0145,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,72488608,zoa3ky0e@gmail.com,Khách hàng cá nhân
KH-0146,LIÊN ĐOÀN BÓNG ĐÁ NAUY,797514223,49wqw97w@gmail.com,Ngân hàng
KH-0147,Công TY TNHH Công nghệ Nettop Việt Nam,43160062,a844tn8e@gmail.com,Tổ chức chính phủ
KH-0148,Công Ty TNHH Sojitz Viet Nam,494402544,ggpzogeo@gmail.com,Ngân hàng
KH-0149,CÔNG TY CỔ PHẦN ZAKKA,692144844,zckno00y@gmail.com,Tổ chức chính phủ
KH-0150,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ AE VIỆT NAM,591330824,i4wwd7dk@gmail.com,Doanh nghiệp
KH-0151,Công Ty Cổ Phần Style Stone,953932673,mm9yo77a@gmail.com,Khách hàng cá nhân
KH-0152,CÔNG TY CỔ PHẦN THÁI MINH,131706724,q7u91ojk@gmail.com,Doanh nghiệp
KH-0153,Công Ty CP Công Nghệ Kỹ Thuật Số - HiTD,701332686,36q0yo08@gmail.com,Khách hàng cá nhân
KH-0154,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,575590726,49q82n3m@gmail.com,Ngân hàng
KH-0155,Nhà máy sữa đậu nành Việt Nam Vinasoy - Chi nhánh Công ty Cổ phần Đường Quảng Ngãi,302795648,tpxbg6ls@gmail.com,Doanh nghiệp
KH-0156,Công ty TNHH Xây dựng C.A.D,192494611,omqbumxn@gmail.com,Doanh nghiệp
KH-0157,CÔNG TY TNHH YOUNGONE NAM ĐỊNH,270964593,6vzisyyt@gmail.com,Tổ chức chính phủ
KH-0158,Chi Nhánh công ty TNHH Em-Tech Việt Nam tại Nghệ An,947528988,t8qgwpoq@gmail.com,Tổ chức chính phủ
KH-0159,Chi nhánh Công ty TNHH Bơm EBARA Việt Nam tại Hà Nội,719904560,f12d4t3z@gmail.com,Tổ chức chính phủ
KH-0160,CÔNG TY TNHH CÔNG NGHỆ CAO BÁCH KHOA,522683539,wlcuxiwr@gmail.com,Doanh nghiệp
KH-0161,Công Ty TNHH Bao Bì MM Vidon,123031881,8cxhtjlf@gmail.com,Doanh nghiệp
KH-0162,Công Ty TNHH Menkar,722616139,xclco3f8@gmail.com,Khách hàng cá nhân
KH-0163,Công ty TNHH Một Thành Viên Việt Giay,304050788,lhrqeo8c@gmail.com,Doanh nghiệp
KH-0164,TRƯỜNG TIỂU HỌC DÂN LẬP VIỆT MỸ,656054826,i580smhd@gmail.com,Khách hàng cá nhân
KH-0165,TRƯỜNG THCS VIỆT MỸ,432104165,0rrrohal@gmail.com,Tổ chức chính phủ
KH-0166,CÔNG TY TNHH CÔNG NGHỆ 360 VIỆT NAM,566655287,oe04xycp@gmail.com,Ngân hàng
KH-0167,CÔNG TY TNHH MỘT THÀNH VIÊN TÍN PHÁT COMPUTER,889913800,trwm5eye@gmail.com,Tổ chức chính phủ
KH-0168,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VIỆT NAM,133219336,qrzod2mj@gmail.com,Ngân hàng
KH-0169,CÔNG TY TNHH THƯƠNG MẠI KẾT NỐI AN TOÀN,308036184,tu2yoql7@gmail.com,Khách hàng cá nhân
KH-0170,Công ty TNHH Pacisoft Việt Nam,1977211,1rrv9wmu@gmail.com,Tổ chức chính phủ
KH-0171,CÔNG TY TNHH MÁY TÍNH ĐỨC AN,996473227,8recvt1s@gmail.com,Ngân hàng
KH-0172,Công ty TNHH Silver Heritage Việt Nam.,305763664,alfijoe5@gmail.com,Doanh nghiệp
KH-0173,CÔNG TY CỔ PHẦN TÍCH HỢP GIẢI PHÁP KST,760581138,gocmuimx@gmail.com,Ngân hàng
KH-0174,CÔNG TY TNHH GIẢI PHÁP AN NINH KẾT NỐI CÔNG NGHỆ CAO,802199627,9mtznncn@gmail.com,Khách hàng cá nhân
KH-0175,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TSC VIỆT NAM,795584838,4blkyvg0@gmail.com,Doanh nghiệp
KH-0176,CÔNG TY TNHH KDDI VIỆT NAM,481698900,irqp6l6u@gmail.com,Ngân hàng
KH-0177,CÔNG TY VNPT GLOBAL HK LTD,439426344,sv8og5sn@gmail.com,Khách hàng cá nhân
KH-0178,CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU BẾN TRE,251807756,8nmg6ylt@gmail.com,Tổ chức chính phủ
KH-0179,CÔNG TY TNHH GIANG KHÁNH VINH,144855566,oe952tsx@gmail.com,Khách hàng cá nhân
KH-0180,Công Ty TNHH Draeger Việt Nam,557965447,q8n7g4ai@gmail.com,Tổ chức chính phủ
KH-0181,Công ty TNHH Thakral One – Chi nhánh tại Hà Nội,975968431,trwd5he4@gmail.com,Khách hàng cá nhân
KH-0182,CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ THỊNH PHÁT COMPUTER,379461637,afntc2ou@gmail.com,Tổ chức chính phủ
KH-0183,CÔNG TY CỔ PHẦN TRIHAN,152533048,7fhcdxm0@gmail.com,Doanh nghiệp
KH-0184,Chi nhánh Công ty cổ phần kho vận Jupiter Việt Nam tại Hà Nội,271733239,mkc4vy5k@gmail.com,Ngân hàng
KH-0185,Chi nhánh công ty cổ phần giao nhận hàng hoá JUPITER- PACIFIC tại thành phố Hà Nội,177871544,gzyd69pv@gmail.com,Ngân hàng
KH-0186,CÔNG TY TNHH OVI CABLES (VIỆT NAM),377359401,kl1xi2nz@gmail.com,Doanh nghiệp
KH-0187,CÔNG TY CỔ PHẦN ĐIỆN LỰC KHÁNH HÒA,79456859,y0is73u9@gmail.com,Doanh nghiệp
KH-0188,Công ty TNHH công nghiệp ADCEL Việt Nam,912729339,sjfkrc4u@gmail.com,Tổ chức chính phủ
KH-0189,CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ ALSOK VIỆT NAM,118363120,vwiz2yn2@gmail.com,Tổ chức chính phủ
KH-0190,Công ty TNHH Công nghệ Info Việt Nam,166268878,471qrn3i@gmail.com,Doanh nghiệp
KH-0191,CÔNG TY TNHH VIETTEL - CHT,609343928,qr658eta@gmail.com,Khách hàng cá nhân
KH-0192,HỢP TÁC XÃ MÂY TRE LÁ BA NHẤT,94743853,e3a6bmyg@gmail.com,Tổ chức chính phủ
KH-0193,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ TIẾN THÀNH,450721813,loik339y@gmail.com,Khách hàng cá nhân
KH-0194,CÔNG TY TNHH ESOFTFLOW,776114813,ros7oiib@gmail.com,Ngân hàng
KH-0195,CÔNG TY TNHH FUJI SEAL VIỆT NAM,621689043,69ljgk89@gmail.com,Doanh nghiệp
KH-0196,CÔNG TY CP MÁY TÍNH – TRUYỀN THÔNG- ĐIỀU KHIỂN 3C,588302755,w5ys6qf0@gmail.com,Khách hàng cá nhân
KH-0197,CÔNG TY TNHH IMAX,147891051,pdm1x3un@gmail.com,Doanh nghiệp
KH-0198,CÔNG TY TNHH CÔNG TY KHAI THÁC ĐÁ VÔI YABASHI VIỆT NAM,901489860,cy6eke3y@gmail.com,Doanh nghiệp
KH-0199,CÔNG TY CỔ PHẦN REECOM GROUP,290382136,jdt81zy9@gmail.com,Tổ chức chính phủ
KH-0200,CÔNG TY TNHH PHÁT TRIỂN NAM HỘI AN,798668764,t2sn3237@gmail.com,Doanh nghiệp
KH-0201,CÔNG TY TNHH SHIFT ASIA,762246646,mpn5m9r8@gmail.com,Khách hàng cá nhân
KH-0202,Công ty CP Giải pháp Siêu Việt,678802640,l21k4c3s@gmail.com,Doanh nghiệp
KH-0203,Công Ty TNHH ENKEI Việt Nam,562903547,t1dy7tu9@gmail.com,Khách hàng cá nhân
KH-0204,CÔNG TY CỔ PHẦN DFM-ENGINEERING,172010736,iekzp4jd@gmail.com,Tổ chức chính phủ
KH-0205,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG CÔNG NGHIỆP VIỆT NAM,167099162,tk4bzjkt@gmail.com,Doanh nghiệp
KH-0206,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH SONG ANH,357592929,7jes765a@gmail.com,Doanh nghiệp
KH-0207,CÔNG TY TNHH CÔNG NGHIỆP FULLWEI VIỆT NAM,499151164,svp98731@gmail.com,Khách hàng cá nhân
